id,username,userAccount,avatarUrl,gender,userPassword,phone,email,userStatus,createTime,updateTime,isDelete,userRole
1,manLin,manLin,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-09-18 21:21:17,2024-09-18 21:21:17,0,0
5,linSir,linSir,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-09-24 20:05:47,2024-09-24 20:05:47,0,1
6,linStu,linStu,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,1,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-09-25 21:35:53,2024-09-25 21:35:53,0,0
7,StuLin,StuLin,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,1,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-09-25 21:40:26,2024-09-25 21:40:26,0,0
8,OneForPlus,OneForPlus,https://pic.netbian.com/uploads/allimg/240903/154433-1725349473928d.jpg,1,14fef4c058cd3a362b716daac07ab357,19900002222,19900002222@qq.com,0,2024-09-25 21:41:09,2024-09-25 21:41:09,0,1
9,linSirShuai,linSirShuai,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-11-28 19:28:56,2024-11-28 19:28:56,0,0
10,假面9000,假面9000,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-12-14 17:16:31,2024-12-14 17:16:31,0,0
11,假面7000,假面7000,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-12-14 17:16:31,2024-12-14 17:16:31,0,0
12,假面0,假面0,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-12-14 17:16:31,2024-12-14 17:16:31,0,0
13,假面4000,假面4000,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-12-14 17:16:31,2024-12-14 17:16:31,0,0
14,假面5000,假面5000,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-12-14 17:16:31,2024-12-14 17:16:31,0,0
15,假面8000,假面8000,https://images.wallpaperscraft.com/image/single/girl_neon_glasses_1314591_1280x720.jpg,0,cf7f088469e927321d02d37fd5632b9c,19900002222,19900002222@qq.com,0,2024-12-14 17:16:31,2024-12-14 17:16:31,0,0
